tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,has_emoji
Not telling anyone how I voted in case it doesn't come true #EUref,1,I voted leave/remain in the EU Referendum,1.0,0.0,0.0,0.0,0.0,0.0,False
just wondering how to get my diss down by 1500 words .. such fun,1,getting my diss down by 1500 words is not fun.,1.0,0.0,0.0,0.0,0.0,0.0,False
It’s been a blissful 2.5 hours of sleep tonight,1,I only got 2.5 hours of sleep last night and it wasn’t enough,1.0,0.0,0.0,0.0,0.0,0.0,False
Falling asleep at your laptop is always fun,1,I hate falling asleep at my laptop ,1.0,0.0,0.0,0.0,0.0,0.0,False
Trying to know all this history tonight is gonna kill me,1,trying to know all this history is going to be be a challenge,1.0,0.0,0.0,0.0,0.0,0.0,False
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1,Can’t believe Jonny is making me use headphones to watch something so he can play fifa ,1.0,0.0,0.0,0.0,0.0,0.0,False
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1,Repulsing people would certainly draw attention.,1.0,0.0,0.0,0.0,0.0,0.0,False
Would anyone like to give me some money? #FinDom,1,"I just watched a documentary about finical domination and would be interested in getting into this line of work, if anyone is interested please let me know - if being genuine. Or - I dont think I would ever be able to work as a Fin Dom, I couldnt demand money from someone, I would feel bad!",1.0,0.0,0.0,0.0,0.0,0.0,False
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,1,I am officially a national trust member,1.0,0.0,0.0,0.0,0.0,0.0,False
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1,"Vaccinated this morning. The vaccine did not contain a Microsoft chip, nor did it make me more autistic than I already am.",1.0,0.0,0.0,0.0,0.0,0.0,False
ITS COMING HOOOOOME,1,It’s coming Rome,1.0,0.0,0.0,0.0,0.0,0.0,False
90% of adulthood is just refilling your Brita pitcher.,1,I have to refill my Brita pitcher too often.,0.0,1.0,0.0,0.0,1.0,0.0,False
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",1,I wish we could have signed a player for the first team. ,1.0,0.0,0.0,1.0,0.0,0.0,False
Where is the Chancellor? Please check the back of your sofas.,1,(!) I wonder where the Chancellor is after such an important decision?,1.0,0.0,0.0,0.0,0.0,0.0,False
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",1,"As someone who is aspec in multiple ways, I enjoy having all parts of my identity being recognised. ",1.0,0.0,0.0,0.0,0.0,0.0,False
going to be running on three hours of sleep at work tonight! so excited!!!,1,i’m not ready to go to work after only getting three hours of sleep last night.,1.0,0.0,0.0,0.0,0.0,0.0,False
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1,I don’t think he drank 11 beers every hour,1.0,0.0,0.0,0.0,0.0,1.0,False
i’m now reading 4 books at once what could go wrong 🧡,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0,False
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",1,He's too old?,1.0,0.0,0.0,0.0,0.0,0.0,False
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",1,"The first half of 2020 is now over, it's been awful so far hasn't it.",0.0,1.0,0.0,0.0,0.0,0.0,False
"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff",1,I hate working outside in the heat. ,0.0,1.0,0.0,0.0,0.0,0.0,False
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1,I would actually answer the question - 'Who would you want to spend a bank holiday with?' with an answer that I meant. I would be worried that people would mock me if I was honest though - I don't care when the tweet is clearly a joke.,1.0,0.0,0.0,0.0,0.0,0.0,False
"So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks",1,To buy an airport meal with a £3 voucher is impossible.,1.0,0.0,0.0,0.0,0.0,0.0,False
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0,False
"Wizkid is the king, ok lol",1,Wizkid is not the king lol,1.0,0.0,0.0,0.0,0.0,0.0,False
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",1,Wood burning stoves are definitely not an environmental issue that needs to be immediately addressed ,0.0,1.0,0.0,0.0,0.0,0.0,False
Social Care for the young is basically a bath board and bed rest and your done.,1,Social care for the young is non existent.,1.0,0.0,0.0,0.0,0.0,0.0,False
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,1,I am disappointed that it took so long to get to this point where we are up to date.,1.0,0.0,0.0,0.0,0.0,0.0,False
JUSTICE HAS BEEN DONE.,1,Justice will never be done,1.0,0.0,0.0,0.0,0.0,0.0,False
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,1,this was a boring race.,0.0,1.0,0.0,0.0,0.0,0.0,False
help! i'm being haunted by dead people! (my dissertations),1,I hate my dissertation,0.0,1.0,0.0,0.0,0.0,0.0,False
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1,Very jealous of my neighbors sitting in their hot tub today whilst I am on back to back zoom meetings.,1.0,0.0,0.0,0.0,0.0,0.0,False
Billy Gunn sorta relevant for the first time in years...,1,Billy Gunn is actually in the spotlight now. ,1.0,0.0,0.0,1.0,0.0,0.0,False
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1,I could have said that I was too dumb for conceptual physics. ,1.0,0.0,0.0,0.0,0.0,0.0,False
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0,False
considering crowd surfing the next time the hallways are too packed,1,"The hallways are very crowded lately. I would prefer to take another form of transportation that is more efficient than walking, but none such option exists.",0.0,1.0,0.0,0.0,0.0,0.0,False
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1,I can not avoid miss gatherings as I work in a school.,0.0,1.0,0.0,0.0,0.0,1.0,False
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0,False
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,1,Literally the worst possible time to have my AC go out. ,0.0,1.0,0.0,0.0,0.0,0.0,False
@WalesOnline Riveting news.,1,What a boring tweet.,1.0,0.0,0.0,0.0,0.0,0.0,False
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1,Everyone needs gas-x after having beans. ,1.0,0.0,0.0,0.0,0.0,0.0,False
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,1,The say so song was good after the first 5 listens but after that it got annoying,0.0,1.0,0.0,1.0,0.0,0.0,False
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,1,My tinnitus is so annoying,1.0,0.0,0.0,0.0,0.0,0.0,False
love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,1,"I hate that in order to get time off of work, I have to do something drastic like getting surgery",1.0,0.0,0.0,0.0,0.0,0.0,False
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,Every time I drink I wake up with an upset stomach,1.0,0.0,0.0,0.0,0.0,0.0,False
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1,I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. ,1.0,0.0,1.0,0.0,0.0,0.0,False
fully vaxxed feeling very girlboss,1,fully vaxxed not feeling very girlboss,1.0,0.0,0.0,0.0,0.0,0.0,False
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1,I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”,1.0,0.0,0.0,0.0,0.0,0.0,False
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",1,She just wants you to use her make-up and skincare.,1.0,0.0,0.0,0.0,0.0,0.0,False
The typhoon flew over me today absolutely fuming they forgot to bomb me,1,the typhoon flew over me today and i didnt get bombed ,1.0,0.0,0.0,0.0,0.0,0.0,False
love getting assignments at 6:25pm on a Friday!!,1,Please do not give me an assignment right before I clock out because now I have to work overtime,1.0,0.0,0.0,0.0,0.0,0.0,False
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1,An uninteresting conversation regarding the importance of an Orlando Magic Summer League title. ,0.0,1.0,0.0,0.0,0.0,0.0,False
@rits_meg @freedomsenpai hot loli,1," great art, involve rinako-chan",1.0,0.0,0.0,0.0,0.0,0.0,False
"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?”",1,I could have said thanks for coming over ,1.0,0.0,0.0,0.0,0.0,1.0,False
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,1,Sitting next to my boyfriend but he'll notice me on twitter first.,1.0,0.0,0.0,0.0,0.0,0.0,False
watching olympic womens beach volleyball for the plot,1,I watch women's beach volleyball for the hot women.,1.0,0.0,0.0,0.0,0.0,0.0,False
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",1,I left my Airpods out by the fire and now my ears are warm.,1.0,0.0,0.0,0.0,0.0,0.0,False
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,1,Why is the ref helping the other team?,1.0,0.0,0.0,0.0,0.0,0.0,False
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,1,by simply stating the foolishness of voting in favour of brexit ,1.0,0.0,0.0,0.0,0.0,0.0,False
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1,Norwich are the standout team this year and therefore Brentford have no chance of winning the league,1.0,0.0,0.0,1.0,0.0,0.0,False
how do I get my boyfriend in a maid costume?,1,My boyfriend could look okay in a maid costume.,1.0,0.0,0.0,0.0,0.0,1.0,False
@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,1,I would point out that how can a President be censored if he has his own press Corp right there in the White House,1.0,0.0,0.0,0.0,0.0,0.0,False
Wtf is a Justin Herbert,1,"""I don't know who Justin Herbert is""",1.0,0.0,0.0,0.0,0.0,1.0,False
"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0,False
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1,It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow ,1.0,0.0,0.0,0.0,0.0,0.0,False
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1,"College advisors are not nearly as helpful as they should be, in fact they are often the opposite.",1.0,0.0,0.0,0.0,0.0,0.0,False
2 busy working 2 care,1,i don’t care because i’m at work,1.0,0.0,0.0,0.0,0.0,0.0,False
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1,'Focus on fixing Earth before you start experimenting with Mars',0.0,1.0,0.0,0.0,0.0,0.0,False
The control button just fell off my laptop. How symbolic for my life.,1,My control key fell off my laptop and I cannot control my life,1.0,0.0,0.0,0.0,0.0,0.0,False
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",1,"Don't say ""dems in disarray,"" because they aren't.",1.0,0.0,0.0,0.0,0.0,0.0,False
a level tudor history can do one,1,I want my a-level history course to be finished,0.0,1.0,0.0,0.0,0.0,0.0,False
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,1,"Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow",1.0,0.0,0.0,0.0,0.0,0.0,False
ugh I have to send an email??? how about I just quit!!!!!,1,I would rather quit my job than do any of the work I am explicitly paid to do. ,1.0,0.0,0.0,0.0,0.0,0.0,False
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",1,After three days of incompetence from Air France my luggage has finally arrived. No thanks to Air France.,1.0,0.0,0.0,0.0,0.0,0.0,False
So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,1,I just fell down the stairs after holding the door open for Bam Adebayo. I really embarrassed myself.,1.0,0.0,0.0,0.0,0.0,0.0,False
I can't believe today is the last day we can be gay.,1,Today is the last day of pride month.,1.0,0.0,0.0,0.0,0.0,0.0,False
did you actually fly on a plane if you didn’t post a picture of the view from your window?,1,You don’t need to post a picture from airplane window every time you fly since all pictures from the window are practically the same. ,1.0,0.0,0.0,0.0,0.0,1.0,False
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",1,I think Kanye West and Gap is a terrible collab.,1.0,0.0,0.0,0.0,0.0,0.0,False
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1,I'm sick of listening to my coworkers talk about their kids & want to eat my lunch in peace!,1.0,0.0,0.0,0.0,0.0,0.0,False
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),1,I don’t like people who talk bad about me,1.0,0.0,0.0,0.0,0.0,0.0,False
@igreen95 thx for the play by play,1,"""Sounds interesting!""",1.0,0.0,0.0,0.0,0.0,0.0,False
omg there’s a sheet of ice in front of my school. should I slip and fall?,1,"I am in need of money. Therefore, I should sue my college if I fall because they are responsible for not clearing the ice on the ground.",0.0,1.0,0.0,0.0,0.0,1.0,False
I wish that grilled cheese helped you get that summer bod,1,Grilled cheese doesn't give you a summer bod,0.0,1.0,0.0,0.0,0.0,0.0,False
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1,"Instead of saying ""the more you know guys!"" I would just say ""that is not true""",1.0,0.0,0.0,0.0,0.0,0.0,False
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,1,Billionaires do not need anyone to speak up on their behalf.,1.0,0.0,0.0,0.0,0.0,0.0,False
"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",1,Javid hasn't actually opened any new hospitals - he's just announcing that he has when actually he's opening a new facility within an existing hospital,1.0,0.0,0.0,0.0,0.0,0.0,False
yeah your girl is fine but does she pass out while giving blood,1,Passing out while giving blood is not attractive,1.0,0.0,0.0,0.0,0.0,1.0,False
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",1,I don't think K&G owes me therapy.,1.0,0.0,0.0,0.0,0.0,0.0,False
Accidentally made a friend in ASL today. I hate when that happens.,1,"I would say ""Made a friend in ASL today. I love when that happens.""",1.0,0.0,0.0,0.0,0.0,0.0,False
"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1,"I would omit the ""who'da thunk"" part.",1.0,0.0,0.0,0.0,0.0,1.0,False
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1,I wish that my stomach could stop making whale noises after feeding it a protein bar,1.0,0.0,0.0,0.0,0.0,0.0,False
Overthinking everything in life really takes a toll on you,1,"There is a contrast between the word ""overthinking"" and how everything in life really does not take a toll on you.
",0.0,1.0,0.0,0.0,0.0,0.0,False
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1,Pitching two games back to back is exhausting.,1.0,0.0,0.0,0.0,0.0,0.0,False
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,1,There is a website you could use to check if the airbnb is available ,1.0,0.0,0.0,0.0,0.0,0.0,False
@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),1,Ratings should not matter.,1.0,0.0,0.0,0.0,0.0,0.0,False
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1,dont you hate it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1.0,0.0,0.0,0.0,0.0,1.0,False
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1,The customer service worker sprayed customers with water like one does to train pets.,1.0,0.0,0.0,0.0,0.0,0.0,False
I still can’t believe England won the World Cup,1,I still can’t get over the fact England did not win the World Cup ,1.0,0.0,0.0,0.0,0.0,0.0,False
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,"My date got cancelled, and I got ready for nothing.",1.0,0.0,0.0,0.0,0.0,1.0,False
wouldn’t it be cool if i could spontaneously combust,1,I'm frustrated and I don't want to deal with things right now.,1.0,0.0,0.0,0.0,0.0,1.0,False
Efy is great,1,"EFY is a time for white, religious kids to make weird friends and mess around while not doing anything productive.",0.0,1.0,0.0,0.0,0.0,0.0,False
@sonofsama1 @Santandave1 you’re trash,1,You’re terrible,1.0,0.0,0.0,0.0,0.0,0.0,False
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,1,Cold queso is gross and warm queso is so much better.,0.0,1.0,0.0,0.0,0.0,0.0,False
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1,"""It's literally their job to have a lot of knowledge on a wide array of subjects""",1.0,0.0,0.0,0.0,0.0,0.0,False
"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy""",1,I hate the Walgreens robot,0.0,1.0,0.0,0.0,0.0,0.0,False
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1,"Fed up of seeing forced romance, don't be told when to do something nice for a person you love.",0.0,1.0,0.0,0.0,0.0,0.0,False
wow i love only ever buying gray and striped shirts,1,I wish I didn't just buy gray and striped shirts.,1.0,0.0,0.0,0.0,0.0,0.0,False
no more instagram. we must all return to scrapbooks.,1,I would rather make a scrapbook than use instagram.,0.0,1.0,0.0,0.0,0.0,0.0,False
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1,"Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience.",0.0,1.0,0.0,0.0,0.0,0.0,False
Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1,"The tweet could be, ""oh my goodness I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face"" to make it not sarcastic. ",1.0,0.0,0.0,0.0,0.0,0.0,False
"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",1,"I really do not love hurting my foot, it's really painful! ",1.0,0.0,0.0,0.0,0.0,0.0,False
"me: trying to sleep slightly earlier than usual bc I feel like shit 
my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",1,"I might say “I am so annoyed that my roommate won’t stop venting to me when I’m trying to sleep, I already don’t feel good and was trying to sleep Early for Self Care and having them bombard me with their problems at 4am is really putting a damper on things”",1.0,0.0,0.0,0.0,0.0,0.0,False
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1,"""I can't stand when the kittens have so much energy at the crack of dawn that I get woken up by a loud, noisy mess they've made""",0.0,1.0,0.0,0.0,0.0,0.0,False
"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",1,Therapy can only do so much. ,1.0,0.0,0.0,0.0,0.0,0.0,False
a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,1,"Tom Ford, as a movie director, makes me feel big feelings and that's impressive to me.",1.0,0.0,0.0,0.0,0.0,0.0,False
"Hey Siri, how do I stop simping?",1,I don't like that I put too much effort into someone who may not like me back.,1.0,0.0,0.0,0.0,0.0,1.0,False
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1,"In the follow up tweets, I said this: ""I would just like everyone reading this tweet to remember that we live in a capitalistic society and that 90% of your favorite organizations have huge stockpiles built up that would be super helpful in a public crisis. And many don’t pay taxes. If you think of a person or company or organization with the resources to share their excessive wealth... maybe write them emails and suggest they do so.""",1.0,0.0,0.0,0.0,0.0,1.0,False
Wow Bdubs can bench press 150 kilometers,1,Bdubs can't bench press 150 kilometers,0.0,1.0,0.0,0.0,0.0,0.0,False
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1,"Shouting ""go potty"" at my dog is not at all glamorous or cosmopolitan. ",1.0,0.0,0.0,0.0,0.0,0.0,False
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1,I've heard that Baja Blast may be sold in stores and I would enjoy that because I think the drink is good. ,1.0,0.0,0.0,0.0,1.0,0.0,False
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,1,"""this reminds me of the reviewer 2 trope""",1.0,0.0,0.0,0.0,0.0,0.0,False
A wrong impression is once again my specialty,1,Unfortunately I made the wrong impressions again. ,1.0,0.0,0.0,0.0,0.0,0.0,False
if trees would simply stop producing flammable leaves climate change would not be an issue,1,putting the blame on trees for causing fires is stupid,0.0,1.0,0.0,0.0,0.0,0.0,False
hey quick question is it fall or spring???,1,Why is it so frickin warm in November someone lmk,0.0,1.0,0.0,0.0,0.0,1.0,False
when the toilet seat is warmed up for you&gt;&gt;&gt;,1,Ew this toilet seat is warmed up.,0.0,1.0,0.0,0.0,0.0,0.0,False
@PlayStationUK Nice,1,These aren't very good games,1.0,0.0,0.0,0.0,0.0,0.0,False
