emoji,anger,joy,sadness,fear,surprise,disgust,anticipation,trust
😕,0.11701081612586037,0.09832841691248771,0.13667649950835792,0.13372664700098327,0.12586037364798427,0.13372664700098327,0.13962635201573254,0.11504424778761062
🎎,0.10357410811820955,0.15117639820527984,0.15634168847827823,0.12124153319567199,0.12233238077082774,0.09636387027185726,0.13725493747088852,0.14996628264774176
🏊🏻,0.12018607751934951,0.138672114808287,0.11427444391483732,0.11185817798221365,0.12233238077184705,0.08956546939549839,0.1372876743386416,0.14605042895322462
❗,0.13382899628252787,0.10037174721189591,0.10873605947955389,0.13197026022304834,0.16821561338289964,0.12174721189591078,0.13197026022304834,0.10315985130111525
💭,0.11514522821576764,0.12136929460580911,0.11514522821576764,0.11514522821576764,0.12136929460580911,0.11514522821576764,0.17012448132780084,0.12655601659751037
💬,0.11676240820321482,0.13040962436207337,0.11634520505685941,0.11198709417814712,0.12233238077120337,0.06911358739167557,0.1373841166730195,0.1575293464217847
🎴,0.10680901496328943,0.16388681623357115,0.11891845482932695,0.10639761062023467,0.12233238077140415,0.11683296048239783,0.13723389898767527,0.1494314332390858
♉,0.11884827018741362,0.14161320575658465,0.11652424179192167,0.11765479501991649,0.12233238077156748,0.09687568515192674,0.13724298307421604,0.15259995385005828
⚖,0.12737045376974265,0.13563379336846992,0.11852456425003766,0.12260881144888458,0.12233238077176463,0.11283568591797084,0.1375246001845507,0.13283054673906453
🇮🇩,0.12210872386185656,0.139599512796849,0.11520145527902059,0.11852860406867194,0.12233238077182362,0.10149108721772022,0.1372286379932154,0.14963150833426409
🛵,0.13148508621662813,0.14061315794970142,0.10348609908760409,0.11458478015089213,0.12233238077158652,0.09504592584549629,0.13723511845237607,0.1369976442595846
⬅️,0.12825039402571292,0.13527432860428235,0.11631962645515159,0.11757619553702625,0.12233238077156804,0.09985766927287137,0.13719895167282042,0.13208244418619675
📒,0.13023958792092571,0.13622388172370847,0.11486440943554044,0.12344339816439742,0.12233238077177168,0.10511057528135861,0.13745333930641343,0.13886380998468553
😡,0.19455252918287935,0.09727626459143968,0.13229571984435795,0.10797665369649805,0.10505836575875487,0.1517509727626459,0.10797665369649805,0.10311284046692606
🇲🇦,0.11831540455938239,0.13640460877650185,0.12255196279329539,0.12085616689424228,0.12233238077162448,0.11267606406864286,0.13733567206895061,0.13972396762976683
🇨🇭,0.12844234260796838,0.14173341161222197,0.1108916883749771,0.11825783222329278,0.1223323807717292,0.10593481560876014,0.13766743619906485,0.14646491375485787
🍦,0.11804320033724025,0.14945671343593858,0.11549179895519046,0.1161758440837275,0.12233238077102003,0.10436443591107454,0.13632389035669182,0.14176079237228933
❗️,0.11470847918542404,0.15551204845542088,0.11166664776283142,0.11481320424169894,0.12233238077164749,0.11389728269622239,0.1372410469053608,0.14460730780028272
🌐,0.11237207583485542,0.15507064468692988,0.11732394427417603,0.11644580108423952,0.1223323807715991,0.08860578940047105,0.1352146088568329,0.154227869017842
🎡,0.11359327760499127,0.14906175297073787,0.11917630959578673,0.10818305005687989,0.12233238077157423,0.09636945216301708,0.13632463612109322,0.145726507239345
🇿🇲,0.11956817885044302,0.12520892608881695,0.12705117294171941,0.1220738137382682,0.1223323807717379,0.10366183480180738,0.13727373645583155,0.1377009056851234
🤒,0.11977734040431187,0.12398125235631596,0.1350616521176562,0.1341140654810431,0.1223323807713746,0.09532935759081318,0.13723633981111624,0.1422763458466201
🔓,0.12075835795309331,0.1357559488606057,0.11169572943799722,0.11916043814264299,0.12233238077184308,0.09693264066115474,0.1372530417183632,0.14634955081219264
🎻,0.11375731989556925,0.14608706703438656,0.11667396967641253,0.10854425848646088,0.12233238077170532,0.09502412415410776,0.13744571477658382,0.13999243544994705
😹,0.10493179433368312,0.20356768100734524,0.10493179433368312,0.10493179433368312,0.11962224554039876,0.10493179433368312,0.12277019937040924,0.13431269674711438
🚮,0.12988320897210315,0.13595762812474277,0.11670081417105393,0.11792360898419929,0.12233238077174025,0.0814878745242624,0.13728547860275053,0.12439386780626832
👽,0.117778103611613,0.14594692352693528,0.1310289371813269,0.12501020152055276,0.12233238077177797,0.11235286359001838,0.1372458405421785,0.14689742746186307
🌝,0.11317835419430367,0.14160626261582365,0.14727188461074547,0.1304423885423489,0.12233238077058675,0.09443734902796934,0.13782395607254302,0.1705627365142214
🇭🇺,0.11886708266825963,0.13207794817571994,0.12119964552039164,0.1255361978741405,0.12233238077171454,0.09669546834252876,0.1363238202633564,0.15538465329483556
🐆,0.11402869606558852,0.14565040247543948,0.12020526592641545,0.12600148592883897,0.12233238077176455,0.10412371415815944,0.1372980205899343,0.15069802574701827
🇰🇵,0.12652951870097695,0.13236722626606934,0.11710003587722895,0.12383172014560273,0.1223323807716726,0.09361220090998312,0.13728951075355805,0.14767580924694212
💔,0.1357421875,0.09765625,0.189453125,0.11132812500000001,0.10546875,0.1298828125,0.11621093749999999,0.11425781249999999
🎅🏻,0.11821111712595211,0.1473948636703426,0.12660878203496395,0.11208074107327093,0.12233238077173754,0.11856359037883941,0.13632442006769624,0.14072739346806173
👇🏽,0.1356197009282596,0.13680220105015906,0.11799290448470856,0.11620197696677792,0.12233238077138224,0.11653417639510058,0.1377201164963924,0.12230246495475397
🍆,0.12371862058660099,0.14019557259598514,0.11363137335865758,0.11932268540712698,0.12233238077111715,0.09650746706027008,0.13726551534514225,0.13792581795531855
👃🏽,0.1301241398641082,0.14098842730163597,0.11351056835337658,0.12262026858459762,0.12233238077167378,0.10081083837561179,0.13724498379128328,0.1349226161968049
🐖,0.12392519356268394,0.11726827437814791,0.1531374341902847,0.13915202938324,0.12233238077141645,0.0901681686726449,0.13742804213517112,0.1377813452163465
😮,0.12208380368304006,0.13094946976343635,0.11002742822711298,0.123006705415861,0.12233238077186463,0.08514733119601015,0.1372801999323448,0.1339311628482694
✴️,0.12215949880538801,0.13959929350676248,0.1337603260144533,0.11945920891085393,0.12233238077121948,0.10808297645192066,0.1372662959084347,0.13710169054150434
➗,0.1206968871438221,0.13700108897319296,0.11748447540958296,0.12404539725721975,0.12233238077166372,0.09993826986225741,0.13734492121535968,0.14292640954840957
⌚,0.11435563471695787,0.14585357277974254,0.11252666274049261,0.11002330527949766,0.12233238077185471,0.10352359945848602,0.13726722044929918,0.1411570441215061
🆎,0.12800972344479078,0.12743208067695377,0.11505979286266665,0.12242416104561471,0.12233238077174048,0.09596148778854537,0.13632449766376636,0.14018473471294557
👻,0.11733615221987315,0.10570824524312895,0.11733615221987315,0.17864693446088792,0.13847780126849893,0.11416490486257928,0.11416490486257928,0.11416490486257928
🗻,0.1229175033544152,0.14228727400768548,0.10375821316119982,0.11249177627243512,0.12233238077179454,0.10345785364487439,0.13747743266419546,0.15066356011477794
🇨🇺,0.12013963399590466,0.13475469077093294,0.123129899140622,0.11838004329055707,0.12233238077181947,0.1087192950501564,0.13744796306531115,0.14025294790756193
😟,0.11584800741427248,0.09267840593141799,0.1566265060240964,0.15940685820203893,0.10843373493975904,0.1334569045412419,0.1334569045412419,0.10009267840593143
💣,0.11968308747157153,0.11973057559953304,0.13694096791186894,0.13834619894481648,0.12233238077138517,0.09374811708341943,0.1372886427677125,0.1356241631517128
💁,0.1177753544165758,0.12431842966194112,0.11559432933478736,0.11559432933478736,0.12758996728462377,0.1177753544165758,0.14503816793893132,0.13631406761177753
🦀,0.12143016599560497,0.1429941300302744,0.11476562784264388,0.11910708687420879,0.12233238077168894,0.07667502345215858,0.13729828069458355,0.14820927227709774
🇬🇭,0.12678158581888965,0.13366644886991708,0.11535576863388997,0.12157077725211707,0.12233238077180618,0.10090443107178967,0.1375337024130554,0.1387523149399681
🎩,0.1177958852968004,0.1535248637155746,0.10990371148545819,0.10848389274156034,0.12233238077105113,0.10507710790254383,0.13722726443657413,0.15896687823586814
🇼,0.12484266097095542,0.1394508157391101,0.11448163739078154,0.1192592591896755,0.12233238077190245,0.11551507912942588,0.13730638833972475,0.1463705215463431
👉🏾,0.12471458564129989,0.13488041902746772,0.11660391563236772,0.12654530102710737,0.12233238077140539,0.10070894943232557,0.1377920282716345,0.1312703550839843
🙊,0.10515873015873016,0.11309523809523811,0.10714285714285715,0.14583333333333334,0.14087301587301587,0.11805555555555555,0.14285714285714285,0.12698412698412698
🍚,0.1266170129844113,0.14039608436723938,0.11790248345096188,0.12010201831955669,0.12233238077168335,0.0969481065636719,0.13723334014280547,0.13626513834120535
🍙,0.12261365656405587,0.1441876919925562,0.10962313376876409,0.11724201171566051,0.12233238077133776,0.10049922305977438,0.13724181022517243,0.1375282481861859
🚯,0.12840971738222606,0.1292597867141012,0.12324327815622382,0.12060909258730135,0.12233238077171309,0.07188587189078426,0.13793680918878448,0.13363255678442576
👩🏿,0.1236043676348686,0.12709000519680558,0.13325652394996723,0.12687097473221343,0.12233238077178042,0.09574557431809863,0.13730355995938265,0.1291842518564483
🇫🇷,0.1265113143307417,0.14206706695404137,0.11300911616490339,0.11695662447564814,0.12233238077181482,0.11225262459628647,0.13736854564227288,0.14066213789371057
👸🏼,0.11605738075724048,0.14912986135459505,0.12356126329541439,0.11821798518303694,0.12233238077144062,0.11594087614834672,0.13748060135130896,0.1401807351525615
😿,0.10404550015738323,0.14481360565696377,0.15593711194742355,0.12650139113949876,0.12233238076792653,0.07797754374293155,0.1372265457195187,0.1599158265844869
😲,0.11209789415539717,0.11418814226635732,0.150170978909955,0.13521934994759022,0.12233238076902464,0.06640954021011271,0.13747681447055077,0.16864823143671126
🇲🇰,0.11607498232456237,0.14411792074679397,0.11637200021505123,0.1135613968615985,0.12233238077171679,0.0994021759295012,0.13740647649333945,0.14977040280312953
🔢,0.13250435642913772,0.13605020124668954,0.10829263621599239,0.124383073718775,0.12233238077179676,0.09616556044289153,0.1372517601408093,0.13835812357956362
🚬,0.12563122092660706,0.1277453820584924,0.129763799113789,0.11842936633789236,0.12233238077146769,0.08245138333518266,0.1372570217140788,0.12591195886040327
💅,0.11303713393971293,0.15467424115922768,0.11912768349429825,0.11789592341870048,0.12233238077168151,0.11143936598173282,0.13728241953998313,0.13996782823143653
🏀,0.11694514046803306,0.14437006774096517,0.11414871980014141,0.1177416551836643,0.12233238077125502,0.10928149984051677,0.13744156770089572,0.13021061372044268
🍷,0.13137956620266777,0.1425589875507285,0.1083805965299689,0.11327457732599555,0.12233238077149211,0.09775812091625376,0.13753932828507354,0.13256798813031967
🙈,0.10245901639344263,0.13114754098360656,0.10553278688524591,0.11987704918032786,0.15368852459016394,0.11987704918032786,0.14241803278688525,0.125
👭,0.11409800008243565,0.13599217630689964,0.15000611250070506,0.12014821804922349,0.12233238076966546,0.07924734315367225,0.13727110383071253,0.13181742752195183
🍯,0.11898710533228041,0.13168582643993432,0.12402398020640248,0.12290720809824052,0.12233238077150685,0.08451765619595436,0.13730101656019325,0.14870188176947519
🏰,0.11809488050909067,0.14477585376153002,0.12154617632040754,0.11694636359732158,0.12233238077057546,0.10738169714366516,0.1363228685221369,0.14246683330820464
🖨,0.12371489173000327,0.14527454971539555,0.1090383448445209,0.11281219782165408,0.1223323807717619,0.10864196175133818,0.13748244860206252,0.13298171781209794
🍨,0.11867114463774442,0.14885228729690425,0.11493649913063564,0.11634713626335724,0.12233238077120197,0.1015506156562296,0.13731219567813432,0.1420945964405108
🆗,0.11851276680971523,0.14101304227369837,0.11930077392935345,0.11883713561908849,0.12233238077193112,0.10788976945192476,0.1373146339675569,0.144494628157211
😩,0.12642585551330798,0.09505703422053233,0.16634980988593157,0.1397338403041825,0.10836501901140685,0.14258555133079848,0.1188212927756654,0.10266159695817492
🎉,0.0992063492063492,0.19047619047619047,0.0992063492063492,0.0992063492063492,0.1488095238095238,0.0992063492063492,0.13194444444444445,0.13194444444444445
🤐,0.11338904477884171,0.14948208352871006,0.11298590095066174,0.11472913230565496,0.12233238077150098,0.1026511438533274,0.1374043802804534,0.1532719310568157
🥡,0.12320191018659443,0.13105301006726222,0.11165709665147006,0.11420185155222384,0.12233238077168015,0.1052602684585347,0.13730961106551884,0.1314139745492601
⚫️,0.12933784180455632,0.1396181204545428,0.12033849436920718,0.11864653495629796,0.12233238077163613,0.09665436422255964,0.137230020127726,0.12998195296549714
🏣,0.12884367388522833,0.13549015988246538,0.10929979318825644,0.12068794107622693,0.12233238077172473,0.09387232261736224,0.1372654242210287,0.135073536926705
🌹,0.10256410256410256,0.16,0.10256410256410256,0.10256410256410256,0.11384615384615386,0.10256410256410256,0.13948717948717948,0.1764102564102564
🌯,0.12037284208827259,0.14365154287952464,0.10909508395161538,0.11199523452430071,0.12233238077166259,0.11243017857284432,0.13727149124168112,0.13431257441469718
🎆,0.09595723335775119,0.15982422166416654,0.13334358511929167,0.10772813417761995,0.12233238077035538,0.05253877836198169,0.13632339161685852,0.17793110990118993
▶️,0.12486636129000317,0.14310102412855485,0.1112306415598141,0.10986720556238083,0.12233238077182543,0.11147341643091656,0.137380282224094,0.13663650952316475
🔮,0.10919786973806822,0.14471069650608115,0.13113753936522698,0.11952028142457038,0.12233238077089444,0.0897593567290946,0.13723006801609433,0.15278713715668138
🙌,0.10090817356205853,0.17356205852674067,0.10090817356205853,0.10090817356205853,0.14026236125126137,0.10090817356205853,0.13420787083753785,0.14833501513622602
🆚,0.12586245638181026,0.13963905126729514,0.11666647251877293,0.11333998452258243,0.12233238077166855,0.11488290523873665,0.13765299509725257,0.13074453621425608
🙆,0.10969116080937166,0.14802981895633655,0.10649627263045792,0.10649627263045792,0.10969116080937166,0.10649627263045792,0.14164004259850904,0.17145899893503724
🎒,0.11529614844812386,0.14007608254178194,0.12072565235939692,0.11431925474542481,0.12233238077167019,0.10074471338310442,0.1373118193037728,0.1477852660810081
💆,0.12380091458072684,0.13368705860193586,0.11596229263705027,0.11204238932199928,0.12233238077176713,0.11657535698525488,0.1373961024951212,0.14142360135393728
🔰,0.1212578266548121,0.12530146686185617,0.1160686754501512,0.1222927085929939,0.1223323807717841,0.08613530755390997,0.13756846970709527,0.15356458862286648
🌜,0.11543877567766003,0.13284224930248456,0.14236060256735072,0.13410138600355026,0.12233238077091946,0.09584842393377034,0.13760930125978302,0.15928103459519696
🌕,0.1137595886247027,0.1480795453680912,0.14161011837495607,0.12627407002472069,0.1223323807711718,0.10864495151220321,0.13725567970707692,0.16314240227492263
🎑,0.1085218654371829,0.14913315987359965,0.13190163728904736,0.11553180919358397,0.12233238077058486,0.09465730408814524,0.1374024873969616,0.15750837295223766
😳,0.10495049504950496,0.11287128712871289,0.11782178217821782,0.1485148514851485,0.14257425742574256,0.1316831683168317,0.13465346534653463,0.10693069306930694
⚓,0.11974346247205858,0.13551724931312492,0.11737233090934751,0.12637710180942463,0.1223323807715509,0.08451787914038032,0.13760220563568534,0.1447344422637037
🐫,0.1242534817523051,0.14055310488765826,0.11863126756725251,0.11530769650548223,0.12233238077140281,0.08920403298613054,0.13722956754461868,0.14018303660802053
♐,0.11732853105166896,0.14401596595416777,0.11593013624951709,0.11336496220934578,0.12233238077157407,0.10704272294375074,0.1374947069696195,0.14718657997816745
👂,0.11882056320592937,0.12409688186016865,0.1263985359637445,0.11121486829588889,0.1223323807716258,0.09576342982508497,0.13724069809735742,0.14083513846317533
,0.12643955046991096,0.13699268690106692,0.1140981326225301,0.12138063665742038,0.1223323807716149,0.09858321708807494,0.1373428060503845,0.13462817796163198
💃,0.1091703056768559,0.18449781659388645,0.1091703056768559,0.1091703056768559,0.1277292576419214,0.1091703056768559,0.12117903930131005,0.1299126637554585
🐼,0.10848284178723588,0.14522662649687845,0.12079757308492844,0.12174637303212421,0.12233238077019351,0.067210732977159,0.136325309240226,0.15231940035939895
🍣,0.1276103619622404,0.14290348799113417,0.11343750757623638,0.11575650699180073,0.12233238077157388,0.09691373512723571,0.13751533962272586,0.13543645977578717
🏧,0.1260250181899778,0.12760494358371943,0.12467910832492635,0.12003155039241165,0.1223323807715315,0.08724430657673593,0.13738914553067946,0.14130951638313213
🎠,0.10985659991393959,0.13969752030970994,0.12829041481563763,0.11257438069750947,0.12233238077139047,0.08339127432026569,0.1372287989588433,0.14950256773733545
🌴,0.1094970635378445,0.1474431441311026,0.1297940675449354,0.12385828995365955,0.12233238077131912,0.09724239990607088,0.1374154815209775,0.1526632087482784
😏,0.12525667351129363,0.12525667351129363,0.12525667351129363,0.11704312114989734,0.11396303901437373,0.13141683778234087,0.13655030800821355,0.12525667351129363
🛅,0.12036372056115852,0.13537729285599198,0.11764998336730059,0.12032072127166771,0.12233238077169167,0.09720004847397301,0.1374662750653903,0.13985663280386573
💶,0.1316144344402801,0.12901087331556482,0.10741697729281441,0.12377812699560309,0.12233238077169625,0.08727485071014382,0.1372528334436451,0.14232282602152113
⚽,0.1149425287356322,0.14367816091954025,0.1149425287356322,0.12183908045977013,0.1149425287356322,0.1149425287356322,0.15287356321839082,0.12183908045977013
♎,0.1275425441066318,0.1470316275881487,0.10912114965503861,0.11449022391630592,0.1223323807713808,0.11260972220354487,0.1372314020971421,0.136429186964894
🏫,0.12465232104199231,0.1294854275402031,0.11813716716824274,0.11555829484126434,0.12233238077165282,0.0983964109964557,0.13723162396735622,0.13255964634146078
😃,0.10111223458038422,0.18503538928210314,0.10111223458038422,0.10717896865520728,0.134479271991911,0.10111223458038422,0.13245702730030334,0.13751263902932254
🇸🇮,0.12394155071052637,0.13038044229324441,0.11780039153927646,0.12212139529432875,0.12233238077183826,0.09648181942237015,0.13725241916558567,0.14655275959299097
🔒,0.12533007814403163,0.12695430669555208,0.10858674303381122,0.12456959937733814,0.12233238077183303,0.09756719076703035,0.13731619981172957,0.13296867765875106
⛺,0.11849348743328392,0.13912059929862153,0.1169286656913755,0.11144679975561189,0.12233238077182075,0.09469547792152791,0.13767780131962304,0.1344674242991563
🚥,0.1306009177324654,0.1308869208805845,0.11756214601700776,0.1323839649780325,0.12233238077153714,0.09954025274359583,0.13734547627268365,0.13858400819375283
💵,0.1308593923156991,0.13824166062113363,0.10905492618621793,0.12500138547983397,0.12233238077155498,0.09296410776215606,0.13748636642861137,0.1361834678724817
🍺,0.13275480811211082,0.1413282350404188,0.11147175567384693,0.1187571541815089,0.12233238077124092,0.1079926854613247,0.13723565283490524,0.13566682408468989
💀,0.12268041237113403,0.10618556701030929,0.1350515463917526,0.16597938144329896,0.10927835051546393,0.1288659793814433,0.11752577319587632,0.11443298969072167
🌅,0.11093357588356412,0.15486095589585602,0.11826172266773938,0.1167471983986843,0.12233238077144742,0.10760814894766241,0.13750047302465984,0.15535955270016952
🐜,0.12117710658071701,0.14279884939605836,0.11417719679047877,0.1118878900554705,0.12233238077182364,0.1023426238390618,0.13729340111824329,0.1401201130211886
♣️,0.1250209757293419,0.13338515766372439,0.11843238543769985,0.12252846901913017,0.12233238077167247,0.08564071047030475,0.13730805641158106,0.1404702438037112
🔔,0.113743229613533,0.1459964442983619,0.11380378694957471,0.11670049737369936,0.12233238077181768,0.11082125959027528,0.13723060339507037,0.15267048198602212
🙆🏿,0.1214768353290765,0.13077974105544854,0.12038997995659884,0.1303928309771436,0.12233238077133536,0.07828618976129655,0.1374247848123325,0.1540062701159431
💉,0.13025446053671885,0.12449712220404763,0.11438296219239419,0.11976745140952971,0.12233238077184641,0.08025306840730181,0.13722737106524055,0.14083786320911534
💯,0.10728744939271255,0.1659919028340081,0.10728744939271255,0.10728744939271255,0.12044534412955464,0.10728744939271255,0.12955465587044535,0.1548582995951417
🍕,0.11228813559322035,0.15572033898305085,0.11228813559322035,0.11228813559322035,0.1239406779661017,0.11228813559322035,0.14724576271186443,0.1239406779661017
👣,0.11993527837290685,0.13476410415023565,0.12082055191422114,0.11967463909252274,0.1223323807718328,0.09826390184248067,0.1372388526917005,0.13519759624239724
🍌,0.12418166635495709,0.13480135324789444,0.11309043326218671,0.11759800537717524,0.12233238077156165,0.09839988527921135,0.13725917266038914,0.143613832275033
🥔,0.12385631619935111,0.14188697192730615,0.11449318657287222,0.1105058226491451,0.12233238077181358,0.0990032163228711,0.13723011534514162,0.13340933101187077
🐸,0.1278387128741656,0.13598171299963724,0.1101754196715774,0.12217818346053377,0.12233238077182382,0.08506092599587056,0.1373313476321899,0.15299326888626855
👃🏻,0.12817204113514435,0.13304854434682056,0.11659520878311014,0.11891350602479633,0.12233238077162366,0.09576836412109216,0.13723558252259835,0.13563644877816408
🍮,0.1197931609676175,0.15676980173157062,0.11109511095128255,0.1111494699914033,0.12233238077119823,0.12122095378193075,0.13752817104594187,0.1444641021447982
💞,0.10090817356205853,0.1846619576185671,0.10090817356205853,0.10090817356205853,0.12310797174571139,0.10090817356205853,0.12613521695257315,0.1624621594349142
👵🏽,0.1190676761841587,0.14972277782362653,0.11896920122671872,0.11760719805241138,0.12233238077172842,0.11688713061527703,0.1373073556608232,0.14162749940250718
🇳🇬,0.12162958446396033,0.13015979860938387,0.12276773571466038,0.11942853003745313,0.12233238077169327,0.10211081205948477,0.13724068430824302,0.14742587588096367
🚦,0.1284294595884603,0.13158541000302648,0.11647020769851224,0.13151297025677877,0.12233238077162452,0.08961953923148695,0.13729357475078505,0.14400318222506586
🚣,0.12250682891334463,0.1395821295591304,0.11330985180211428,0.11444269918942496,0.1223323807717097,0.09261417829094885,0.1373187430454404,0.12928033388472088
💕,0.1,0.183,0.1,0.1,0.11100000000000002,0.1,0.131,0.175
🐾,0.12000223260639586,0.13444284101569792,0.12366889283293858,0.12503491040337167,0.1223323807715575,0.09744610259825477,0.13726401849483602,0.14282539953044282
🏂,0.11832181926791918,0.1427576726200641,0.11768058290726913,0.11693587431579999,0.12233238077178175,0.08989325492880368,0.13759730762114641,0.14649282164706706
👎,0.15151515151515152,0.10101010101010101,0.13232323232323231,0.11515151515151516,0.11515151515151516,0.16868686868686866,0.1090909090909091,0.10707070707070707
🐀,0.12698177254549137,0.10994213980302447,0.1289018184033921,0.13678570004259427,0.12233238077181645,0.06991221382425652,0.1372431374676104,0.14398042170215536
🚝,0.13503934999437206,0.13809029724507127,0.1054138639865414,0.11572314360651603,0.12233238077146336,0.09625922960599277,0.13726658118357155,0.13811481402616405
😻,0.1002004008016032,0.1753507014028056,0.1062124248496994,0.1002004008016032,0.13326653306613226,0.1002004008016032,0.14228456913827653,0.14228456913827653
🛣,0.1321943658774103,0.13260515761794522,0.1188050595101231,0.11659701704513736,0.12233238077189601,0.10105530114034034,0.13632457150514238,0.13152632787797142
🎈,0.11169652265542677,0.15489989462592202,0.11169652265542677,0.11169652265542677,0.1380400421496312,0.11169652265542677,0.13171759747102213,0.12855637513171758
🐅,0.12828374390232966,0.13997166943590855,0.11584633123311505,0.12088946146911894,0.12233238077162478,0.10290366844196899,0.1372339793774475,0.13751238231130214
🇭🇳,0.12391516896718713,0.1316888561923406,0.11757648634011275,0.12207728762149372,0.12233238077184103,0.09714174898990265,0.13723174814182457,0.146547994912303
